Area,Location,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Barking and Dagenham,Outer,299,298,393,474,418,589,452,420,549,558,548,560
Barnet,Outer,267,334,378,521,543,559,508,402,522,585,499,492
Bexley,Outer,194,195,242,303,310,365,279,257,287,341,368,387
Brent,Outer,610,487,534,756,945,803,643,524,693,743,875,820
Bromley,Outer,233,216,225,283,281,326,266,187,256,290,362,404
Camden,Inner,281,193,238,232,224,211,197,172,185,215,164,162
Croydon,Outer,538,477,567,581,716,753,587,520,654,774,748,867
Ealing,Outer,468,373,346,455,491,472,354,447,489,660,641,800
Enfield,Outer,320,317,444,548,507,611,529,553,548,623,907,983
Greenwich,Inner,433,422,621,715,727,717,536,513,493,482,422,631
Hackney,Inner,565,472,697,642,626,506,329,495,424,580,691,604
Hammersmith and Fulham,Inner,189,184,264,311,222,240,242,223,345,352,323,351
Haringey,Outer,530,566,557,740,702,692,523,576,537,679,948,976
Harrow,Outer,165,174,221,306,376,361,242,254,324,346,291,348
Havering,Outer,88,140,172,239,170,251,222,194,205,284,281,282
Hillingdon,Outer,158,190,228,284,323,318,240,252,329,380,513,487
Hounslow,Outer,207,255,291,355,342,397,320,285,369,527,432,423
Islington,Inner,448,362,353,312,293,294,211,320,295,335,309,267
Kensington and Chelsea,Inner,134,123,148,171,161,168,170,116,198,198,143,132
Kingston upon Thames,Outer,68,51,73,80,99,128,126,79,86,108,107,109
Lambeth,Inner,549,487,648,798,647,811,662,681,781,746,743,684
Lewisham,Inner,457,502,615,743,701,676,723,560,603,691,713,892
Merton,Outer,138,150,172,186,197,256,231,187,241,258,243,284
Newham,Outer,641,588,747,873,747,867,769,608,735,871,1091,1011
Redbridge,Outer,327,270,322,394,382,506,417,372,709,646,535,640
Richmond upon Thames,Outer,76,76,91,112,69,118,83,86,86,97,123,75
Southwark,Inner,685,665,756,820,688,717,680,694,613,637,698,715
Sutton,Outer,99,132,161,159,176,230,178,172,177,160,158,179
Tower Hamlets,Inner,273,197,283,357,313,384,305,340,329,390,449,445
Waltham Forest,Outer,433,366,381,478,368,498,448,404,515,601,694,1071
Wandsworth,Inner,283,333,382,353,338,378,357,313,405,478,560,521
Westminster,Inner,315,305,348,307,328,323,321,215,430,531,350,305
